일자,통화건수,한국은행 기준금리,지점,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),1시간 최다일사량(MJ/m2),일 최심신적설(cm),KOSPI지수,KOSDAQ지수
2018-10-03,42521,1.5,108,17.3,11.2,24.2,0,7.1,1.3,58,2.64,0,2309.57,794.99
2018-10-04,29366,1.5,108,19.3,13,25.6,0,6.2,1.3,56.5,2.44,0,2274.49,789
2018-10-05,44545,1.5,108,16.9,15.7,19,36.5,7.6,1.7,84.1,0.51,0,2267.52,773.7
2018-10-06,45510,1.5,108,18,16.3,21.7,55.5,9.5,2.2,84,2.05,0,2267.52,773.7
2018-10-07,40565,1.5,108,16.4,12.3,21.1,0,6.6,1.7,53.5,2.34,0,2267.52,773.7
2018-10-08,32185,1.5,108,14.8,9.2,20.9,0,5.7,1.1,47,2.4,0,2253.83,767.15
2018-10-09,39238,1.5,108,15.3,10.7,19.8,0,6.4,1.1,52.5,1.82,0,2253.83,767.15
2018-10-10,29086,1.5,108,12,7.9,16.7,7,9.6,2.5,61,1.86,0,2228.61,747.5
2018-10-11,30685,1.5,108,9.7,6.1,13.9,0,11.2,2.1,51,2.58,0,2129.67,707.38
2018-10-12,38404,1.5,108,10.9,5.2,17.4,0,6.1,1.3,54,2.59,0,2161.85,731.5
2018-10-13,43083,1.5,108,12.5,6.1,19.8,0,5.6,1,54,2.53,0,2161.85,731.5
2018-10-14,41623,1.5,108,13.2,6.8,20.3,0,5.8,1.5,60,2.37,0,2161.85,731.5
2018-10-15,27419,1.5,108,15.2,10.9,21,0,5.9,1.4,69.9,2.11,0,2145.12,718.87
2018-10-16,30458,1.5,108,14.5,9.9,20.3,0,5.9,1.3,55.9,2.09,0,2145.12,731.5
2018-10-17,30437,1.5,108,12.4,8.4,18.6,0,7.5,1.3,53.3,2.48,0,2167.51,739.15
2018-10-18,30946,1.5,108,12.7,7.5,19,0,7.3,1.1,59.5,2.3,0,2148.31,731.34
2018-10-19,37117,1.5,108,13.1,7.2,20.4,0,6.6,1.4,54.3,2.43,0,2156.26,740.48
2018-10-20,42278,1.5,108,13.4,6.9,21.4,0,5.6,1.2,53.9,2.45,0,2156.26,740.48
2018-10-21,40361,1.5,108,13.4,7.2,21.1,0,5.7,1.1,49.5,2.4,0,2156.26,740.48
2018-10-22,27130,1.5,108,14,8.8,20.6,0,5.1,1,50,2.03,0,2161.71,744.15
2018-10-23,31633,1.5,108,12.2,9.8,16.9,5,9.3,1.1,75.1,1.62,0,2106.1,719
2018-10-24,32271,1.5,108,12.5,7.6,18.7,0,6.6,1.3,66,2.1,0,2097.58,699.3
2018-10-25,31147,1.5,108,13.8,7,21.2,0,3.9,0.9,55.5,2.31,0,2063.3,686.84
2018-10-26,39829,1.5,108,12.2,9.9,14.7,11,10.1,1.6,74.1,0.78,0,2027.15,663.07
2018-10-27,43034,1.5,108,8.7,6.2,11.6,0,11.2,3.2,49.6,2.01,0,2027.15,663.07
2018-10-28,43998,1.5,108,8.3,5.2,13.5,5.5,13.8,1.5,77.1,1.84,0,2027.15,663.07
2018-10-29,26670,1.5,108,7.2,3.4,11.7,0,10.4,2,57.3,1.97,0,1996.05,629.7
2018-10-30,29151,1.5,108,6.1,0.7,11.6,0,7.3,1.6,51.3,2.3,0,2014.69,644.14
2018-10-31,31396,1.5,108,7.4,3,12.6,0,7.3,1.6,55.4,2.26,0,2029.69,648.67
2018-11-01,31004,1.5,108,8.4,2.5,15.2,0,6.2,1.3,53.4,2.22,0,2024.46,657.46
2018-11-02,36021,1.5,108,10.6,4,19,0,4.2,1.1,54.9,2.12,0,2096,690.65
2018-11-03,41825,1.5,108,11.2,5,19.1,0,6.2,1.3,56,2.17,0,2096,690.65
2018-11-04,39387,1.5,108,11.6,5.3,19.4,0,6.6,1.3,55,2.17,0,2096,690.65
2018-11-05,27244,1.5,108,11.9,6.6,18.3,0,4.8,1.1,65.5,1.74,0,2076.92,691.94
2018-11-06,28610,1.5,108,12.2,8,17.5,0,4.5,0.9,70.5,1.54,0,2089.62,691.55
2018-11-07,31244,1.5,108,12.8,10.3,15.7,2,5.2,1.1,79.5,1.15,0,2078.69,682.37
2018-11-08,36187,1.5,108,11.8,10.5,14.7,64,9.5,1.8,93.8,0.44,0,2092.63,693.67
2018-11-09,36902,1.5,108,12.1,9.5,15.4,1,11.5,3.1,69,2.14,0,2086.09,687.29
2018-11-10,42156,1.5,108,11.9,8.8,17.1,0,7.3,1.4,69.1,1.91,0,2086.09,687.29
2018-11-11,40434,1.5,108,8.1,5.4,10.9,0,6.4,1.1,67.6,1.06,0,2086.09,687.29
2018-11-12,26746,1.5,108,8.1,3.1,15.1,0,6.1,1.2,52.3,1.99,0,2080.44,670.82
2018-11-13,28216,1.5,108,8.8,4.1,15.4,0,5.6,1.1,51.6,1.92,0,2071.23,670.85
2018-11-14,30667,1.5,108,9.8,4.8,16.6,0,5.1,1.1,55.5,2.01,0,2068.05,671.56
2018-11-15,34376,1.5,108,9.7,4.7,16.2,0,4.7,1,55.4,1.74,0,2088.06,681.38
2018-11-16,37118,1.5,108,8.8,4.2,14.5,0,9,1.7,65.1,1.71,0,2092.4,690.18
2018-11-17,43778,1.5,108,4.9,0.6,11.4,0,6.2,1.4,50.8,1.95,0,2092.4,690.18
2018-11-18,39846,1.5,108,6.1,1.9,10.7,0,5.6,1.1,48.8,1.37,0,2092.4,690.18
2018-11-19,27267,1.5,108,6.5,3.3,11.3,0,7.7,1.4,50.4,1.42,0,2100.56,702.13
2018-11-20,29575,1.5,108,6.5,0,12.7,0.2,8.8,1.8,39.9,1.87,0,2082.58,690.81
2018-11-21,30930,1.5,108,5.8,3.1,8.2,1,9.1,1.2,57.1,0.5,0,2076.55,695.72
2018-11-22,31765,1.5,108,2.3,-1.3,7.1,0,9.2,2.4,35,1.88,0,2069.95,692.39
2018-11-23,37952,1.5,108,1.9,-3.1,7.6,0,6.3,1.4,29.6,1.94,0,2057.48,683.06
2018-11-24,44733,1.5,108,2.6,0.3,3.8,10.9,8,1.8,71.1,0.84,8.8,2057.48,683.06
2018-11-25,42127,1.5,108,4.8,1.3,9.8,0,4.2,1,77.8,1.43,0,2057.48,683.06
2018-11-26,27801,1.5,108,6.3,1.6,13.6,0,4.6,1,70.1,1.74,0,2083.02,695.36
2018-11-27,29913,1.5,108,7.1,3.1,12.5,0,7.2,1.5,65,0.87,0,2099.42,700.67
2018-11-28,30433,1.5,108,5,2.1,11.1,0,6.6,1.6,27.1,1.86,0,2108.22,700.12
2018-11-29,31681,1.5,108,3.5,0.6,6.7,0,5.8,1.3,41.4,0.64,0,2114.1,695.48
2018-11-30,38150,1.75,108,2.7,-1.5,8,0,6.2,1.4,46.1,1.83,0,2096.86,695.76
2018-12-01,43559,1.75,108,5.5,0.8,12.4,0,4.6,1,42.3,1.83,0,2096.86,695.76
2018-12-02,39789,1.75,108,8.2,2.8,11.8,0,6.2,1.3,50.1,1.13,0,2096.86,695.76
2018-12-03,29592,1.75,108,11.5,9.3,13.5,9.5,6.3,1.4,87.4,0.11,0,2131.93,709.46
2018-12-04,29835,1.75,108,6.7,-0.3,11.8,5,10.8,2.7,74.9,0.74,0,2114.35,708.63
2018-12-05,31435,1.75,108,0,-4.3,3.4,0,7.1,1.5,39.5,1.29,0,2101.31,701.12
2018-12-06,32400,1.75,108,2.4,-1,6.8,0,12.6,2.3,50.5,1.44,0,2068.69,678.38
2018-12-07,41799,1.75,108,-7.3,-9.6,-1.1,0,13.3,3.8,37.1,1.89,0,2075.76,685.33
2018-12-08,47306,1.75,108,-8.3,-11.4,-4.4,0,9.9,2.6,37.1,1.85,0,2075.76,685.33
2018-12-09,45724,1.75,108,-7.2,-11.8,-2.1,0,7.1,1.5,27,1.87,0,2075.76,685.33
2018-12-10,30163,1.75,108,-2.5,-8.1,4.6,0,4.4,0.9,33.3,1.78,0,2053.79,670.39
2018-12-11,32015,1.75,108,0.2,-2.4,2.9,0,6.1,1.2,44.8,0.8,0,2052.97,661.01
2018-12-12,33997,1.75,108,-1.9,-5,2.4,0,6.8,2.2,39,1.82,0,2082.57,676.48
2018-12-13,35860,1.75,108,-2.2,-5.9,2.1,1.3,11.1,2,57.4,1.65,1.7,2095.55,681.78
2018-12-14,40856,1.75,108,-4.4,-7.8,0.6,0,6.4,1.7,44.3,1.8,0,2069.38,666.34
2018-12-15,46211,1.75,108,-2.4,-7.8,3.2,0,4.2,1,46.8,1.63,0,2069.38,666.34
2018-12-16,42359,1.75,108,0,-2.6,2.1,0.3,5,0.9,63.8,0.63,0.4,2069.38,666.34
2018-12-17,29298,1.75,108,1.6,-1.5,5.9,0.3,7.5,1.8,60.1,1.61,0,2071.09,661.9
2018-12-18,31517,1.75,108,2.6,-2.8,7.4,0,8.1,1.4,56.3,1.56,0,2062.11,659.67
2018-12-19,31728,1.75,108,4,1.3,9.5,0,6.1,1.4,53.4,1.7,0,2078.84,672.08
2018-12-20,33063,1.75,108,3.4,-1.1,10.4,0,4.1,0.9,45.5,1.69,0,2060.12,668.13
2018-12-21,38007,1.75,108,5.6,0.4,9.8,0,4.8,1.1,40.1,1.61,0,2061.49,673.64
2018-12-22,42408,1.75,108,6.9,2.9,12.4,0,7.1,1.5,48.9,1.6,0,2061.49,673.64
2018-12-23,41123,1.75,108,2.4,-3.4,7.5,0,11.3,2.9,43,1.67,0,2061.49,673.64
2018-12-24,47303,1.75,108,-2.3,-5.9,3.1,0,6.7,1.6,35.9,1.83,0,2055.01,669.79
2018-12-25,46630,1.75,108,0.6,-4,5.2,0,5.3,1.2,53.4,1.38,0,2055.01,669.79
2018-12-26,30417,1.75,108,-1.5,-7.1,3,0,8.8,2.8,40.8,1.78,0,2028.01,665.74
2018-12-27,35597,1.75,108,-10.1,-12.5,-6.5,0,10.4,3.5,28.3,1.81,0,2028.44,667.88
2018-12-28,42192,1.75,108,-10.5,-14.4,-6.6,0,8.2,2.5,33,1.83,0,2041.04,675.65
2018-12-29,44086,1.75,108,-7.6,-10.5,-3,0,9.4,2.9,29,1.84,0,2041.04,675.65
2018-12-30,40023,1.75,108,-6.8,-11.3,-0.9,0,5.6,1.2,35.9,1.82,0,2041.04,675.65
2018-12-31,49061,1.75,108,-5.4,-10.5,-0.5,0,5.7,1.2,39.6,1.73,0,2041.04,675.65
2019-01-01,35028,1.75,108,-5,-8.2,-0.6,0,8.6,2.1,49.5,1.42,0,2041.04,675.65
2019-01-02,28422,1.75,108,-4.9,-8.8,0.2,0,6.7,1.7,42.8,1.81,0,2010,669.37
2019-01-03,30852,1.75,108,-3.5,-8.4,3.2,0,5.3,1.4,38.8,1.79,0,1993.7,657.02
2019-01-04,35855,1.75,108,-1.1,-6.2,4.1,0,6.3,1.2,55.5,1.27,0,2010.25,664.49
2019-01-05,41423,1.75,108,-2.8,-5.5,1.1,0,7.1,2.2,40.3,1.78,0,2010.25,664.49
2019-01-06,37770,1.75,108,-2.8,-6.3,2.7,0,6.2,1.2,35,1.79,0,2037.1,672.84
2019-01-07,29783,1.75,108,-1.9,-6.2,3.1,0,7.8,1.4,46.4,1.59,0,2037.1,672.84
2019-01-08,31118,1.75,108,-3.5,-7.2,0.5,0,12,2.6,31,1.82,0,2025.27,668.49
2019-01-09,31985,1.75,108,-4.7,-9.4,1.3,0,6,1.3,28.8,1.3,0,2064.71,679.74
2019-01-10,32690,1.75,108,-0.6,-4.5,3,0,6.8,1.3,48.8,1.47,0,2063.28,683.34
2019-01-11,38096,1.75,108,2.4,-0.4,7.2,0,4.8,1,58.8,1.64,0,2075.57,686.33
2019-01-12,41690,1.75,108,2.8,-0.6,8,0,5.9,1.3,47.6,1.41,0,2075.57,686.33
2019-01-13,39780,1.75,108,1.2,-3,7.6,0,5.8,1.4,54.3,1.72,0,2064.52,683.09
2019-01-14,28890,1.75,108,1.4,-2.4,5.3,0,4.3,0.9,68.6,1.08,0,2064.52,683.09
2019-01-15,31366,1.75,108,-1.7,-7.2,2.6,0,11.1,2.7,58.8,1.32,0,2097.18,690.39
2019-01-16,35074,1.75,108,-5.2,-10.1,-1.1,0,7.5,2.3,45.9,1.87,0,2106.1,693.38
2019-01-17,32278,1.75,108,-0.3,-3.2,4,0,9.1,1.7,45.8,1.91,0,2107.06,686.35
2019-01-18,36743,1.75,108,0.6,-4.6,6.7,0,7.2,1.3,44,1.79,0,2124.28,696.34
2019-01-19,40455,1.75,108,3.6,0,8.5,0,5.1,1.2,59.8,1.27,0,2124.28,696.34
2019-01-20,38939,1.75,108,-1.4,-5.5,4,0,10.3,3.2,38.5,1.94,0,2124.61,695.62
2019-01-21,27907,1.75,108,-1.2,-6.7,4.2,0,9.3,1.6,57.8,0.52,0,2124.61,695.62
2019-01-22,33594,1.75,108,1.7,-3.3,7.1,0,8.5,1.7,62,1.72,0,2117.77,694.55
2019-01-23,30188,1.75,108,2,-0.8,7,0,9.8,2.3,48.9,1.86,0,2127.78,695.63
2019-01-24,31810,1.75,108,0.1,-4.6,6.5,0,6.3,1.7,34.9,1.96,0,2145.03,704.41
2019-01-25,42840,1.75,108,-1.2,-3.8,2.6,0,9.6,2.6,27.6,1.94,0,2177.73,711.38
2019-01-26,42747,1.75,108,-2.5,-6.5,2.4,0,8,2.4,30.9,2.03,0,2177.73,711.38
2019-01-27,39577,1.75,108,-0.1,-6.6,5.1,0,7,1.7,52.5,1.93,0,2177.3,714.26
2019-01-28,28398,1.75,108,1.2,-2.4,4.5,0,11.7,3.1,40.4,1.98,0,2177.3,714.26
2019-01-29,29099,1.75,108,-0.2,-5.6,7,0,6.7,1.5,35.5,2,0,2183.36,710.99
2019-01-30,31061,1.75,108,1.8,-2.8,6.6,0,7.9,1.5,54.6,1.54,0,2206.2,715.3
2019-01-31,33909,1.75,108,-2,-6.2,2.3,0,7.8,2.9,29,1.38,0,2204.85,716.86
2019-02-01,39948,1.75,108,-2.1,-7.4,2.8,0.3,9.1,1.7,47.6,2.04,0,2203.46,716.92
2019-02-02,37267,1.75,108,1.4,-3.2,6.1,0,5.7,1,60,0.83,0,2203.46,716.92
2019-02-03,34189,1.75,108,3.3,2,4.9,16,9.1,1.7,92.9,0.1,0,2203.46,716.92
2019-02-04,20200,1.75,108,-0.6,-3.3,3,0,10,2.1,40.4,2.16,0,2203.46,716.92
2019-02-05,13188,1.75,108,2.8,-3.6,10.1,0,5.9,1,37.1,2.05,0,2203.46,716.92
2019-02-06,29025,1.75,108,5.1,0.1,9.3,0,6.5,1.3,54.9,1.49,0,2203.42,728.79
2019-02-07,28385,1.75,108,-2.1,-8.2,6.3,0.5,10,3.5,45.5,2.21,0,2203.42,728.79
2019-02-08,35320,1.75,108,-6.1,-10.2,-1.3,0,8.3,2.3,31.5,1.97,0,2177.05,728.74
2019-02-09,41716,1.75,108,-5.4,-8.6,-1.9,0,8.6,2.7,30,2.24,0,2177.05,728.74
2019-02-10,40979,1.75,108,-5,-9.1,-1.9,0,6.7,1.7,31.3,1.57,0,2180.73,733.47
2019-02-11,28984,1.75,108,-3,-7.5,2,0,9.7,2.3,34.9,2.32,0,2180.73,733.47
2019-02-12,30391,1.75,108,-0.6,-4.1,3.7,0,7.5,1.9,35.5,1.97,0,2190.47,730.58
2019-02-13,32641,1.75,108,-2.1,-5.7,2.5,0,8.4,2.4,26.6,2.26,0,2201.48,739.91
2019-02-14,33729,1.75,108,-0.5,-5.9,6.3,0,5.8,1.4,24.3,2.34,0,2225.85,742.27
2019-02-15,44047,1.75,108,-0.8,-2.9,0.9,2.2,7.9,1.9,72.8,0.78,0,2196.09,738.66
2019-02-16,43597,1.75,108,-2.7,-5.1,1.5,0.2,8.1,2.6,59,2.25,0,2196.09,738.66
2019-02-17,40108,1.75,108,-1.8,-6.8,4.6,0,7.3,1.9,47.4,2.44,0,2210.89,745.33
2019-02-18,28155,1.75,108,0.9,-4.7,5.9,0,5,1.3,43.5,2,0,2210.89,745.33
2019-02-19,32211,1.75,108,1.4,0.2,3,4.6,7.7,1.4,80.8,0.85,0,2205.63,748.05
2019-02-20,32679,1.75,108,1.7,-0.1,4.5,0,7.9,2.1,67.8,1.32,0,2229.76,750.69
2019-02-21,35201,1.75,108,2.4,-2.6,9,0,5.8,1.5,59.4,2.28,0,2228.66,747.33
2019-02-22,38416,1.75,108,4,-1.6,10.8,0,6.9,1.5,56.1,2.34,0,2230.5,743.38
2019-02-23,41485,1.75,108,6.8,0.5,14.5,0,8,1.1,41,2.54,0,2230.5,743.38
2019-02-24,39924,1.75,108,6.3,1.2,13.7,0,8.1,1.8,45,2.42,0,2232.56,750.4
2019-02-25,29855,1.75,108,4.7,1.3,10.2,0,8.1,2.3,55.8,2.32,0,2232.56,750.4
2019-02-26,31159,1.75,108,5.2,-1.5,12,0,8.2,1.6,32.8,2.39,0,2226.6,747.09
2019-02-27,32927,1.75,108,7.8,4.7,14,0,8.3,1.6,31.3,2.14,0,2234.79,752.16
2019-02-28,38470,1.75,108,6.6,2,12.8,0,8.4,2,39.5,2.21,0,2195.44,731.25
2019-03-01,40672,1.75,108,6.6,1.2,13,0,8.6,2.1,42.3,2.31,0,2195.44,731.25
2019-03-02,39115,1.75,108,7.8,1.3,14.7,0,5.4,1.1,37.6,2.17,0,2195.44,731.25
2019-03-03,36724,1.75,108,9.4,2.5,16.1,0,6.4,1.5,36.4,2.55,0,2190.66,748.07
2019-03-04,28736,1.75,108,9.9,5,16.3,0,7.6,1.9,46.1,2.3,0,2190.66,748.07
2019-03-05,28100,1.75,108,8.4,5.6,12.9,0,7.3,2,66.3,1.81,0,2179.23,747.95
2019-03-06,28867,1.75,108,8.4,5.7,12.4,0,7.2,2,55,1.61,0,2175.6,746.7
2019-03-07,29549,1.75,108,7,3.1,12.7,0,8.9,2.2,51.1,2.45,0,2165.79,736.83
2019-03-08,36050,1.75,108,6.1,0.6,13.4,0,8,1.9,39.4,2.71,0,2137.44,735.97
2019-03-09,41518,1.75,108,7.2,-0.4,14.9,0,6.3,1.3,31.8,1.91,0,2137.44,735.97
2019-03-10,38821,1.75,108,10.1,6.7,15.3,0,5.8,1.2,26.4,1.62,0,2137.44,735.97
2019-03-11,25721,1.75,108,6.6,3.5,10,0,7.5,1.8,61,1.51,0,2138.1,739.09
2019-03-12,28247,1.75,108,3.9,-0.3,7.9,0,11,2.7,55.1,1.16,0,2157.18,754.76
2019-03-13,29390,1.75,108,3.5,-0.4,8.5,0,14.9,3.3,38.5,2.8,0,2148.41,754.89
2019-03-14,30039,1.75,108,5,-1.7,10,0,7.3,1.9,45.3,2.34,0,2155.68,755.42
2019-03-15,39792,1.75,108,5.5,1.6,11.3,3.5,9.8,1.6,72.8,1.58,0,2176.11,748.36
2019-03-16,42350,1.75,108,4.3,0.2,9.2,0,8.1,1.8,69.9,2.39,0,2176.11,748.36
2019-03-17,38389,1.75,108,6.3,2.6,12.4,0,9,2,55.4,2.87,0,2179.49,753.13
2019-03-18,24716,1.75,108,7.1,1.4,14.4,0,7.8,1.4,43.8,2.55,0,2179.49,753.13
2019-03-19,26227,1.75,108,10,3.4,16.7,0,6.7,1.4,52,2.3,0,2177.62,748.91
2019-03-20,31805,1.75,108,10.3,7.1,14.6,16.5,7.9,1.4,79,0.78,0,2177.1,749.76
2019-03-21,29779,1.75,108,7.1,1.9,11.1,3.3,11.3,2.9,77.4,1.33,0,2184.88,743.52
2019-03-22,36939,1.75,108,3.3,-0.7,8.3,0,9.5,2.8,40.9,3.05,0,2186.95,743.97
2019-03-23,43061,1.75,108,3.3,-0.4,8.2,1.7,12.8,2.4,46.9,2.05,0,2186.95,743.97
2019-03-24,38615,1.75,108,4.3,-0.8,9.7,0,10.6,2.3,45.4,2.98,0,2144.86,727.21
2019-03-25,25152,1.75,108,7.3,2.9,11.5,0,8.8,2,56.1,1.05,0,2144.86,727.21
2019-03-26,28349,1.75,108,11.4,7.4,17.6,0,8.9,2,51.1,2.96,0,2148.8,736.81
2019-03-27,27798,1.75,108,11.6,8.9,16.2,0,12,3,66.4,2.08,0,2145.62,728.45
2019-03-28,28470,1.75,108,9.4,5.6,14.6,0,7.9,2.6,49.9,2.79,0,2128.1,719.72
2019-03-29,34783,1.75,108,9.2,5.5,15.1,0,7.9,2.1,33.1,3.01,0,2140.67,729.31
2019-03-30,42589,1.75,108,5.2,3.5,8.4,1.8,13,2.9,72,1.34,0,2140.67,729.31
2019-03-31,38192,1.75,108,4.4,2.6,8.4,0,10,3.2,46,2.02,0,2140.67,729.31
